location,pop_fam,num_buds_at_emerge,ttl_stem_lngth_flwr,buds_at_first_flwr,pollen_color_subj,anther_color_subj,overall_petal_color_subj,petal_pat_color,bud_doy,flwr_doy,scnd_flwr_doy,third_flwr_doy,pop_name,time_fst_flwr,time_fst_scnd_flwr,CMD_gs,CMD_sp,CMD_sm,Tave_gs,Tave_sp,Tave_sm,latitude,elevation,longitude,range_position,bFFP,flwr_number,area,perimeter,circularity,feret,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,trough_length_right
T02-E09,LIC_18,1,11.9,3,cream,cream,pink,1,345,363,NA,375,LIC,18,NA,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,3,0.818,6.742,0.226,1.713,95.152,1.383,1.084,0.923,0.529,0.215,0.233,0.462,0.88,0.974
T02-E11,BFF_15,2,4.3,2,cream,pink,lavender,1,352,369,374,380,BFF,17,5,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,3,0.328,4.71,0.186,1.35,88.837,0.87,1.549,0.646,0.452,0.141,0.14,0.233,0.698,0.79
T02-E13,JCP_13,1,17.3,3,cream,NA,lavender,0,338,355,361,NA,JCP,17,6,301.11904761904765,113.35714285714286,187.76190476190476,10.608571428571429,6.665079365079365,16.523809523809526,49.044619,865,-119.048655,Northern,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T02-F02,GPN_01,4,16.4,6,cream,cream,pink,1,345,360,365,369,GPN,15,5,266.26190476190476,86.97619047619048,179.28571428571428,12.305238095238096,8.403174603174604,18.15833333333333,49.136969,671,-118.246906,Northern,117,3,0.633,5.979,0.223,1.588,94.068,1.109,1.071,0.933,0.537,0.233,0.215,0.418,0.895,0.919
T02-F04,KAB_12,2,10.7,2,cream,cream,lavender,1,352,369,375,380,KAB,17,6,267.4761904761905,61.547619047619044,205.92857142857142,10.74904761904762,6.961904761904762,16.429761904761904,46.866808,1002,-117.154731,Central,131,3,0.475,6.09,0.161,1.642,96.183,0.983,1.761,0.568,0.46,0.136,0.11,0.265,0.79,0.778
T02-F06,STM_03,1,11.7,3,cream,pink,pink,1,324,342,347,351,STM,18,5,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,3,1.397,9.42,0.198,2.4,88.977,1.825,1.078,0.927,0.486,0.312,0.302,0.519,1.311,1.167
T02-F08,LRR_10,2,12.6,4,cream,cream,lavender,1,317,335,340,344,LRR,18,5,375.76190476190476,102.57142857142857,273.1904761904762,10.941904761904762,6.3769841269841265,17.789285714285715,42.959349,1546,-116.951582,Southern,154,3,1.02,8.299,0.186,2.042,88.636,1.479,1.34,0.746,0.541,0.197,0.356,0.496,1.032,0.888
T02-F10,PMS_01,3,7.7,2,cream,cream,lavender,1,317,326,333,339,PMS,9,7,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,3,0.948,8.956,0.149,2.002,87.248,1.489,1.233,0.811,0.493,0.264,0.184,0.384,0.877,0.836
T02-F12,KAB_20,1,10.4,3,purple,lavender,purple,0,345,362,367,376,KAB,17,5,267.4761904761905,61.547619047619044,205.92857142857142,10.74904761904762,6.961904761904762,16.429761904761904,46.866808,1002,-117.154731,Central,131,3,0.889,6.53,0.262,1.735,83.037,1.251,1.106,0.904,0.618,0.285,0.258,0.61,0.901,0.956
T02-F14,LRR_16,1,4,2,cream,cream,pink,1,317,340,350,367,LRR,23,10,375.76190476190476,102.57142857142857,273.1904761904762,10.941904761904762,6.3769841269841265,17.789285714285715,42.959349,1546,-116.951582,Southern,154,3,1.039,7.496,0.232,1.907,88.493,1.527,1.106,0.904,0.56,0.256,0.273,0.458,0.903,0.925
T02-G01,LIC_09,1,13,1,cream,pink,purple,1,345,367,373,NA,LIC,22,6,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,2,0.565,6.099,0.191,1.715,88.091,1.15,1.672,0.598,0.464,0.156,0.172,0.354,0.779,0.84
T02-G03,SUC_04,1,4,2,cream,cream,lavender,1,317,333,335,341,SUC,16,2,379.23809523809524,106.64285714285714,272.5952380952381,11.518571428571429,6.885714285714286,18.46785714285714,43.223458,1498,-117.151153,Southern,146,3,0.742,6.983,0.191,1.731,91.513,1.246,1.389,0.72,0.543,0.183,0.241,0.322,0.634,0.837
T02-G05,CRE_08,1,12.5,3,cream,NA,purple,1,338,355,361,NA,CRE,17,6,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T02-G07,FUR_14,2,12.4,2,cream,lavender,pink,1,345,360,365,370,FUR,15,5,140.92857142857142,10.547619047619047,130.38095238095238,8.63047619047619,4.662698412698413,14.582142857142856,45.746923,1521,-116.144028,Central,154,3,0.826,6.838,0.222,2.112,78.653,1.169,1.823,0.549,0.583,0.188,0.193,0.415,0.698,0.745
T02-G11,BFF_11,3,10.6,4,cream,cream,pink,0,317,330,334,337,BFF,13,4,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,3,1.404,11.817,0.126,2.35,84.764,1.685,1.339,0.747,0.513,0.306,0.28,0.659,1.293,1.271
T02-G13,STM_11,2,16.5,1,cream,cream,purple,0,345,362,369,NA,STM,17,7,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03-A01,FUR_11,2,13.6,3,cream,pink,lavender,1,325,340,344,346,FUR,15,4,140.92857142857142,10.547619047619047,130.38095238095238,8.63047619047619,4.662698412698413,14.582142857142856,45.746923,1521,-116.144028,Central,154,3,1.574,9.786,0.207,2.599,85.288,1.655,1.474,0.678,0.62,0.342,0.359,0.637,0.942,0.896
T03-A03,LIC_07,2,12.1,2,cream,cream,lavender,0,338,354,360,365,LIC,16,6,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,3,0.402,4.793,0.22,1.201,100.852,0.908,1.506,0.664,0.589,0.153,0.146,0.244,0.545,0.587
T03-A05,CRE_03,3,12.3,3,cream,cream,pink,1,352,374,378,NA,CRE,22,4,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,2,0.642,6.239,0.207,1.751,86.856,1.233,1.239,0.807,0.467,0.228,0.199,0.349,0.93,0.944
T03-A07,GPN_16,1,8.6,2,cream,cream,purple,1,352,375,378,NA,GPN,23,3,266.26190476190476,86.97619047619048,179.28571428571428,12.305238095238096,8.403174603174604,18.15833333333333,49.136969,671,-118.246906,Northern,117,2,0.361,4.169,0.261,1.442,82.614,0.73,2.057,0.486,0.585,0.203,0.135,0.274,0.57,0.521
T03-A09,JCP_19,3,12.2,3,NA,NA,NA,NA,352,369,377,NA,JCP,17,8,301.11904761904765,113.35714285714286,187.76190476190476,10.608571428571429,6.665079365079365,16.523809523809526,49.044619,865,-119.048655,Northern,128,2,0.507,5.954,0.18,1.687,87.104,0.999,1.476,0.677,0.49,0.193,0.206,0.356,0.622,0.609
T03-A11,BFF_19,1,16.5,1,cream,pink,lavender,0,338,357,363,NA,BFF,19,6,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03-A13,LRR_15,4,18.9,5,lavender,cream,lavender,0,317,326,328,330,LRR,9,2,375.76190476190476,102.57142857142857,273.1904761904762,10.941904761904762,6.3769841269841265,17.789285714285715,42.959349,1546,-116.951582,Southern,154,4,1.019,6.837,0.274,1.908,90.853,1.416,1.299,0.77,0.611,0.271,0.268,0.491,0.983,0.754
T03-B04,KAB_03,1,6.5,3,lavender,pink,pink,0,338,353,366,368,KAB,15,13,267.4761904761905,61.547619047619044,205.92857142857142,10.74904761904762,6.961904761904762,16.429761904761904,46.866808,1002,-117.154731,Central,131,3,0.758,7.477,0.17,2.093,92.135,1.359,1.364,0.733,0.452,0.29,0.23,0.379,0.918,0.923
T03-B06,BRD_16,2,18.2,4,cream,pink,pink,1,340,360,362,367,BRD,20,2,228.07142857142856,65.33333333333333,162.73809523809524,12.311428571428571,8.4515873015873,18.101190476190474,49.3268,606,-117.611818,Northern,113,3,1.36,9.8,0.178,2.522,78.126,1.858,1.019,0.981,0.468,0.316,0.32,0.594,1.185,1.247
T03-B10,GPN_17,1,8.5,2,cream,cream,pink,1,345,363,370,374,GPN,18,7,266.26190476190476,86.97619047619048,179.28571428571428,12.305238095238096,8.403174603174604,18.15833333333333,49.136969,671,-118.246906,Northern,117,3,0.279,3.957,0.224,1.175,88.363,0.721,1.784,0.561,0.539,0.095,0.129,0.206,0.541,0.611
T03-B12,TIC_15,3,31.3,3,cream,cream,purple,0,324,338,341,344,TIC,14,3,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,3,1.753,9.311,0.254,2.752,80.717,1.889,1.152,0.868,0.555,0.414,0.387,0.564,1.188,1.233
T03-B14,MEB_17,1,22.8,3,cream,cream,purple,1,352,374,380,385,MEB,22,6,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141,3,0.891,7.521,0.198,2.218,90.441,1.487,1.264,0.791,0.438,0.271,0.274,0.331,1.137,1.07
T03-C01,GPN_02,1,12.2,2,cream,purple,purple,1,352,374,377,NA,GPN,22,3,266.26190476190476,86.97619047619048,179.28571428571428,12.305238095238096,8.403174603174604,18.15833333333333,49.136969,671,-118.246906,Northern,117,2,0.41,4.698,0.233,1.549,87.574,0.763,2.495,0.401,0.556,0.186,0.155,0.261,0.647,0.537
T03-C09,PMS_05,4,9.1,3,cream,cream,lavender,0,317,324,325,330,PMS,7,1,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,5,1.237,8.621,0.209,2.196,86.47,1.617,1.358,0.737,0.543,0.273,0.243,0.47,0.997,0.909
T03-C11,HES_20,3,13.2,2,cream,cream,lavender,0,345,365,371,376,HES,20,6,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,3,0.971,10.167,0.118,2.365,81.532,1.596,1.782,0.561,0.415,0.176,0.153,0.483,1.092,0.909
T03-C13,LIC_08,3,25.3,3,cream,cream,purple,1,345,369,371,374,LIC,24,2,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,3,0.532,5.367,0.232,1.501,96.934,1.09,1.298,0.771,0.549,0.194,0.176,0.258,0.674,0.698
T03-D12,BFF_04,1,7.2,0,NA,NA,NA,NA,324,347,378,NA,BFF,23,31,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03-D14,TIC_14,3,13.4,5,pink,pink,pink,1,331,344,348,350,TIC,13,4,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,3,1.319,9.624,0.179,2.447,92.969,1.612,1.573,0.636,0.55,0.25,0.239,0.68,0.881,0.87
T03-E01,MEB_02,1,22,5,cream,cream,lavender,1,325,341,344,348,MEB,16,3,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141,3,1.107,8.295,0.202,2.208,86.709,1.569,1.346,0.743,0.521,0.238,0.218,0.577,0.964,0.956
T03-E07,BBU_16,1,9.6,3,cream,cream,lavender,1,324,345,351,355,BBU,21,6,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,3,1.254,8.491,0.219,2.188,85.079,1.622,1.279,0.782,0.576,0.263,0.234,0.637,1.011,0.998
T03-E09,PMS_20,2,4,2,NA,NA,NA,NA,324,346,NA,NA,PMS,22,NA,305.7142857142857,67.16666666666667,238.54761904761904,10.635238095238096,6.233333333333333,17.238095238095237,44.86463,1422,-116.62262,Central,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03-E11,LIC_03,2,8.5,0,purple,purple,purple,0,352,365,NA,NA,LIC,13,NA,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03-E13,GPN_12,1,22.5,0,cream,cream,pink,0,380,401,NA,NA,GPN,21,NA,266.26190476190476,86.97619047619048,179.28571428571428,12.305238095238096,8.403174603174604,18.15833333333333,49.136969,671,-118.246906,Northern,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03-F02,MEB_18,1,13.7,4,cream,cream,lavender,1,325,344,347,350,MEB,19,3,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141,3,0.64,5.779,0.241,1.711,92.426,1.102,1.423,0.703,0.553,0.202,0.257,0.348,0.69,0.818
T03-F04,OGP_06,2,20.2,5,cream,cream,pink,0,317,333,336,339,OGP,16,3,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,3,0.953,7.059,0.24,2.02,87.637,1.391,1.319,0.758,0.508,0.221,0.212,0.487,1.157,1.137
T03-F08,LIC_17,NA,16.2,2,cream,cream,purple,1,NA,389,391,398,LIC,NA,2,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,3,0.445,5.031,0.221,1.748,97.169,0.913,2.307,0.434,0.467,0.137,0.106,0.245,0.735,0.7
T03-F10,BBU_18,1,7.4,2,lavender,lavender,lavender,1,324,346,352,360,BBU,22,6,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,3,0.689,6.839,0.185,1.948,159.129,1.239,1.838,0.544,0.433,0.215,0.178,0.358,1.062,0.975
T03-F12,OGP_11,1,13.2,5,cream,cream,purple,1,324,343,345,351,OGP,19,2,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,3,0.69,6.365,0.214,1.58,95.968,1.204,1.03,0.971,0.559,0.272,0.216,0.354,0.841,0.73
T03-F14,FUR_16,1,18.3,1,purple,pink,pink,1,345,365,NA,NA,FUR,20,NA,140.92857142857142,10.547619047619047,130.38095238095238,8.63047619047619,4.662698412698413,14.582142857142856,45.746923,1521,-116.144028,Central,154,2,1.221,8.026,0.238,2.027,87.026,1.497,1.259,0.795,0.577,0.252,0.24,0.732,1.163,1.158
T03-G01,BBU_13,1,7.3,2,pink,pink,lavender,1,345,365,NA,NA,BBU,20,NA,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03-G03,CRE_19,2,18.5,4,cream,lavender,lavender,1,340,357,360,363,CRE,17,3,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,3,1.138,7.518,0.253,2.037,97.819,1.388,1.317,0.759,0.626,0.305,0.311,0.528,0.843,0.842
T03-G05,HES_15,2,17,5,purple,lavender,lavender,1,324,341,345,349,HES,17,4,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,3,1.111,9.325,0.161,2.432,79.114,1.566,1.493,0.67,0.471,0.249,0.232,0.417,0.908,1.002
T03-G07,TIC_02,2,16.9,1,cream,cream,purple,1,367,387,390,NA,TIC,20,3,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,2,0.489,5.972,0.172,1.708,82.875,1.024,1.669,0.599,0.478,0.168,0.143,0.264,0.73,0.585
T03-G09,LIC_12,3,17.5,4,cream,purple,purple,1,352,369,372,377,LIC,17,3,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,3,0.498,4.9,0.26,1.355,67.529,0.936,1.306,0.766,0.604,0.176,0.164,0.3,0.68,0.648
T03-G11,JCP_03,1,17.2,4,cream,cream,purple,1,345,362,367,373,JCP,17,5,301.11904761904765,113.35714285714286,187.76190476190476,10.608571428571429,6.665079365079365,16.523809523809526,49.044619,865,-119.048655,Northern,128,3,0.448,5.242,0.205,1.636,84.24,0.986,1.613,0.62,0.458,0.134,0.161,0.252,0.755,0.671
T04-A01,BBU_12,2,10.6,2,cream,cream,lavender,1,331,341,349,367,BBU,10,8,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,3,1.3,8.887,0.207,2.379,95.14,1.772,1.177,0.849,0.492,0.273,0.287,0.483,1.256,1.149
T04-A05,OGP_13,2,16.6,4,cream,lavender,pink,0,317,333,335,338,OGP,16,2,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,3,1.027,8.374,0.184,1.954,98.915,1.628,1.135,0.881,0.501,0.229,0.293,0.415,0.986,1.088
T04-A07,BRD_17,2,18.3,4,lavender,cream,purple,0,338,354,357,360,BRD,16,3,228.07142857142856,65.33333333333333,162.73809523809524,12.311428571428571,8.4515873015873,18.101190476190474,49.3268,606,-117.611818,Northern,113,3,0.905,7.117,0.224,2.055,85.969,1.357,1.132,0.883,0.494,0.26,0.229,0.415,0.915,1.05
T04-A09,LIC_13,1,21,4,cream,cream,pink,NA,345,364,369,370,LIC,19,5,255.07142857142858,61.83333333333333,193.23809523809524,10.866190476190475,7.0738095238095235,16.554761904761904,48.191144,804,-116.15621,Northern,130,3,1.369,8.887,0.218,1.915,78.898,1.552,1.011,0.989,0.68,0.376,0.385,0.649,0.956,0.901
T04-A11,STM_09,1,14.6,2,cream,lavender,purple,1,324,344,351,353,STM,20,7,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,3,0.898,10.712,0.098,2.495,97.289,1.515,1.603,0.624,0.375,0.216,0.224,0.394,0.855,0.962
T04-A13,JCP_04,2,20.3,3,cream,cream,lavender,1,331,345,350,355,JCP,14,5,301.11904761904765,113.35714285714286,187.76190476190476,10.608571428571429,6.665079365079365,16.523809523809526,49.044619,865,-119.048655,Northern,128,3,1.203,7.23,0.289,1.987,72.82,1.516,1.115,0.897,0.564,0.306,0.29,0.486,1.059,1.188
T04-B02,BRD_09,3,13.4,4,cream,cream,pink,1,331,340,344,347,BRD,9,4,228.07142857142856,65.33333333333333,162.73809523809524,12.311428571428571,8.4515873015873,18.101190476190474,49.3268,606,-117.611818,Northern,113,3,1.394,8.127,0.265,2.402,78.404,1.697,1.161,0.861,0.537,0.371,0.316,0.598,1.065,1.065
T04-B04,TIC_01,3,17.15,4,cream,pink,lavender,1,331,343,349,353,TIC,12,6,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,3,1.002,7.394,0.23,1.905,75.124,1.415,1.392,0.719,0.527,0.172,0.26,0.49,0.973,1.082
T04-B06,OGP_19,1,16.4,4,cream,lavender,lavender,1,324,341,345,348,OGP,17,4,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,3,1.14,8.265,0.21,2.209,84.338,1.586,1.193,0.838,0.534,0.255,0.292,0.58,1.021,0.852
T04-B08,STM_16,3,15.6,5,cream,lavender,purple,1,324,337,340,343,STM,13,3,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,3,1.097,7.738,0.23,1.983,66.828,1.462,1.173,0.853,0.561,0.235,0.235,0.614,1.047,1.001
T04-B10,MEB_10,6,25,4,cream,pink,purple,0,331,338,340,343,MEB,7,2,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141,3,1.432,10.385,0.167,2.477,73.536,1.821,1.163,0.86,0.506,0.33,0.309,0.574,1.126,1.235
T04-B12,SUC_09,1,6.2,2,lavender,cream,lavender,1,338,361,367,NA,SUC,23,6,379.23809523809524,106.64285714285714,272.5952380952381,11.518571428571429,6.885714285714286,18.46785714285714,43.223458,1498,-117.151153,Southern,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T04-B14,MEB_07,3,16.5,5,cream,cream,pink,1,317,333,341,343,MEB,16,8,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141,3,1.154,7.836,0.236,2.294,92.893,1.5,1.224,0.817,0.546,0.329,0.287,0.471,1.019,0.905
T04-C05,BBU_17,1,10.6,2,cream,cream,pink,0,324,345,351,NA,BBU,21,6,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T04-C07,BFF_03,2,10,2,pink,pink,pink,0,324,338,343,349,BFF,14,5,345.8571428571429,100.30952380952381,245.54761904761907,10.284761904761904,6.130952380952381,16.515476190476193,44.343006,1312,-119.302186,Central,146,3,0.803,7.955,0.159,2.418,90.744,1.364,2.099,0.476,0.391,0.127,0.128,0.408,1.109,1.016
T04-D02,TIC_12,2,15.2,6,pink,pink,purple,1,325,347,350,354,TIC,22,3,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,3,1.582,9.686,0.212,2.646,96.154,1.96,1.188,0.842,0.505,0.295,0.251,0.622,1.211,1.302
T04-D04,MEB_09,2,25.8,6,cream,pink,pink,1,317,335,338,341,MEB,18,3,353.38095238095235,97.47619047619048,255.9047619047619,10.873809523809523,6.993650793650794,16.69404761904762,44.962502,1033,-118.959969,Central,141,3,1.768,10.697,0.194,2.734,80.65,1.874,1.18,0.848,0.526,0.393,0.474,0.657,1.417,1.405
T04-D06,STM_13,1,16.5,4,cream,cream,pink,1,324,339,343,346,STM,15,4,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,3,1.711,10.595,0.192,2.663,86.859,2.145,1.147,0.872,0.463,0.376,0.376,0.52,1.363,1.49
T04-D08,LRR_05,2,9.1,4,cream,cream,lavender,1,324,339,344,347,LRR,15,5,375.76190476190476,102.57142857142857,273.1904761904762,10.941904761904762,6.3769841269841265,17.789285714285715,42.959349,1546,-116.951582,Southern,154,3,1.393,9.708,0.186,2.41,89.328,1.744,1.232,0.812,0.531,0.276,0.303,0.608,1.271,1.171
T04-D10,BBU_20,2,12.9,2,lavender,lavender,lavender,1,324,348,354,363,BBU,24,6,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,3,0.835,8.218,0.155,2.519,115.952,1.135,2.188,0.457,0.476,0.175,0.151,0.217,1.341,1.041
T04-D12,BRD_01,3,23.2,1,cream,cream,purple,1,367,379,384,NA,BRD,12,5,228.07142857142856,65.33333333333333,162.73809523809524,12.311428571428571,8.4515873015873,18.101190476190474,49.3268,606,-117.611818,Northern,113,2,1.35,9.607,0.184,2.511,86.533,1.79,1.182,0.846,0.492,0.341,0.257,0.494,1.157,1.047
T04-E01,BBU_06,1,19.1,2,pink,cream,lavender,1,317,335,341,365,BBU,18,6,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,3,1.53,10.84,0.164,2.741,78.601,1.885,1.475,0.678,0.493,0.21,0.243,0.522,1.033,1.166
T04-E05,BBU_10,1,8.5,1,NA,NA,NA,NA,324,344,350,NA,BBU,20,6,254.5952380952381,43.023809523809526,211.57142857142858,10.246666666666666,5.853174603174603,16.836904761904762,43.73359,1704,-116.128678,Southern,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T04-E07,HES_19,1,11.7,2,purple,purple,purple,1,324,339,344,349,HES,15,5,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,3,1.099,8.884,0.175,2.369,110.597,1.53,1.442,0.694,0.5,0.237,0.235,0.589,1.006,0.991
